Country,Year,Sector,Purpose,Adoption_Rate
European Union,2021,10_J58_63,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",69
European Union,2021,10_M69_75,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",65
European Union,2021,10_L68,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",71
European Union,2021,10_D35_E39,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",65
European Union,2021,10_I55,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",78
European Union,2021,10_N77_82,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",66
European Union,2021,10_C10_33,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",72
European Union,2021,10_G45_47,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",78
European Union,2021,10_H49_53,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",61
European Union,2021,10_G47,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",79
European Union,2021,10_F41_43,"Use IoT for premises' security \n(e.g. smart-alarm systems, -smoke detectors, -door locks, -security cameras)",72
European Union,2021,10_J58_63,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",31
European Union,2021,10_M69_75,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",28
European Union,2021,10_L68,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",45
European Union,2021,10_D35_E39,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",41
European Union,2021,10_I55,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",48
European Union,2021,10_N77_82,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",22
European Union,2021,10_C10_33,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",35
European Union,2021,10_G45_47,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",28
European Union,2021,10_H49_53,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",22
European Union,2021,10_G47,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",30
European Union,2021,10_F41_43,"Use IoT for energy consumption management \n(e.g. smart-meters, -thermostats, -lights) ",27
European Union,2021,10_J58_63,Use IoT for condition-based maintenance \n(e.g. sensors to monitor maintenance needs of machines or vehicles) ,26
